Date,Centre_Name,Commodity_Name,Price
28-01-09,SHILLONG,Wheat,NA
28-01-09,AIZWAL,Wheat,NA
28-01-09,KOHIMA,Wheat,NA
28-01-09,AGARTALA,Wheat,NA
28-01-09,BENGALURU,Wheat,1700
28-01-09,T.PURAM,Wheat,NA
28-01-09,CHENNAI,Wheat,NA
28-01-09,HYDERABAD,Wheat,NA
29-01-09,CHANDIGARH,Wheat,NA
29-01-09,DELHI,Wheat,1180
29-01-09,SHIMLA,Wheat,NA
29-01-09,SRINAGAR,Wheat,NA
29-01-09,JAMMU,Wheat,NA
29-01-09,AMRITSAR,Wheat,1000
29-01-09,LUDHIANA,Wheat,1100
29-01-09,LUCKNOW,Wheat,NA
29-01-09,DEHRADUN,Wheat,NA
29-01-09,RAIPUR,Wheat,NA
29-01-09,AHMEDABAD,Wheat,NA
29-01-09,BHOPAL,Wheat,NA
29-01-09,MUMBAI,Wheat,NA
29-01-09,JAIPUR,Wheat,NA
29-01-09,PATNA,Wheat,NA
29-01-09,RANCHI,Wheat,NA
29-01-09,BHUBANESHWAR,Wheat,NA
29-01-09,KOLKATA,Wheat,NA
29-01-09,GUWAHATI,Wheat,NA
29-01-09,SHILLONG,Wheat,NA
29-01-09,AIZWAL,Wheat,NA
29-01-09,KOHIMA,Wheat,NA
29-01-09,AGARTALA,Wheat,NA
29-01-09,BENGALURU,Wheat,1600
29-01-09,T.PURAM,Wheat,NA
29-01-09,CHENNAI,Wheat,1540
29-01-09,HYDERABAD,Wheat,NA
30-01-09,CHANDIGARH,Wheat,NA
30-01-09,DELHI,Wheat,1180
30-01-09,SHIMLA,Wheat,NA
30-01-09,SRINAGAR,Wheat,NA
30-01-09,JAMMU,Wheat,NA
30-01-09,AMRITSAR,Wheat,NA
30-01-09,LUDHIANA,Wheat,NA
30-01-09,LUCKNOW,Wheat,NA
30-01-09,DEHRADUN,Wheat,NA
30-01-09,RAIPUR,Wheat,NA
30-01-09,AHMEDABAD,Wheat,NA
30-01-09,BHOPAL,Wheat,1100
30-01-09,MUMBAI,Wheat,NA
30-01-09,JAIPUR,Wheat,NA
30-01-09,PATNA,Wheat,NA
30-01-09,RANCHI,Wheat,NA
30-01-09,BHUBANESHWAR,Wheat,NA
30-01-09,KOLKATA,Wheat,NA
30-01-09,GUWAHATI,Wheat,NA
30-01-09,SHILLONG,Wheat,NA
30-01-09,AIZWAL,Wheat,NA
30-01-09,KOHIMA,Wheat,NA
30-01-09,AGARTALA,Wheat,NA
30-01-09,BENGALURU,Wheat,1600
30-01-09,T.PURAM,Wheat,NA
30-01-09,CHENNAI,Wheat,NA
30-01-09,HYDERABAD,Wheat,NA
02-02-09,CHANDIGARH,Wheat,NA
02-02-09,DELHI,Wheat,1180
02-02-09,SHIMLA,Wheat,NA
02-02-09,SRINAGAR,Wheat,NA
02-02-09,JAMMU,Wheat,NA
02-02-09,AMRITSAR,Wheat,1000
02-02-09,LUDHIANA,Wheat,1100
02-02-09,LUCKNOW,Wheat,1120
02-02-09,DEHRADUN,Wheat,NA
